,Unnamed: 0.1,Unnamed: 0,id,latitude,longitude,time,edge,speed,traj_future,angle,time1
358,358,17971,0,8458.8268798888,21333.3216668651,21660.0,251502516,2.144,251502516.0,81.65463823750868,3-4
359,359,18021,0,8487.734444406104,21464.166432575,21720.0,251502516,2.144,251602838.0,77.54175355999503,3-4
360,360,18071,0,8525.436516804599,21592.68148605121,21780.0,251602838,2.144,251602838.0,73.65005368960853,3-4
361,361,18121,0,8565.097304738621,21720.677665292824,21840.0,251602838,2.144,270202838.0,72.78392641220874,3-4
362,362,18171,0,8604.921347985144,21848.62306776492,21900.0,270202838,2.144,270202838.0,72.71082316994006,3-4
363,363,18220,0,8644.854667658876,21976.53448234484,21960.0,270202838,2.144,270202779.0,72.66189085763848,3-4
364,364,18270,0,8694.046632812144,22009.405810965167,22020.0,270202779,0.944,270202779.0,33.75185871594519,3-4
365,365,18320,0,8743.27241673116,22041.929989625947,22080.0,270202779,0.944,277902780.0,33.45330945407368,3-4
366,366,18368,0,8771.0478991514,22026.63567490929,22140.0,277902780,0.624,277902780.0,-28.838975674808765,3-4
367,367,18418,0,8790.52829070582,21992.849370807093,22200.0,277902780,0.624,277902780.0,-60.033258129385004,3-4
368,368,18468,0,8810.008682260242,21959.06306670489,22260.0,277902780,0.624,278002781.0,-60.03325812939033,3-4
369,369,18518,0,8820.361532317756,21923.01675965232,22320.0,278002781,0.624,278002781.0,-73.97541948399665,3-4
370,370,18568,0,8818.896401878737,21884.0442899744,22380.0,278002781,0.624,278002781.0,-92.15296278909976,3-4
371,371,18617,0,8817.431271439717,21845.07182029647,22440.0,278002781,0.624,278102782.0,-92.15296278910182,3-4
372,372,18667,0,8816.755536790331,21806.508593957507,22500.0,278102782,0.624,278102782.0,-91.00387818287984,3-4
373,373,18717,0,8849.448763764305,21785.244706494763,22560.0,278102782,0.624,278102782.0,-33.040237778066164,3-4
374,374,18767,0,8882.141990738277,21763.98081903201,22620.0,278102782,0.624,278102782.0,-33.04023777807658,3-4
375,375,18816,0,8914.835217712249,21742.71693156927,22680.0,278102782,0.624,278102782.0,-33.04023777806314,3-4
376,376,18896,0,8906.306773026028,21748.263887462745,22800.0,278102782,0.624,278102782.0,146.959762221941,3-4
377,377,18957,0,8873.613546052056,21769.527774925493,22860.0,278102782,0.624,278102782.0,146.95976222192792,3-4
378,378,19007,0,8840.920319078083,21790.79166238824,22920.0,278102782,0.624,278002781.0,146.95976222192937,3-4
379,379,19056,0,8816.348338937818,21816.265815745963,22980.0,278002781,0.624,278002781.0,133.96725049517815,3-4
380,380,19106,0,8817.813469376837,21855.23828542389,23040.0,278002781,0.624,278002781.0,87.84703721090064,3-4
381,381,19156,0,8819.278599815858,21894.210755101813,23100.0,278002781,0.624,278002781.0,87.84703721089778,3-4
382,382,19206,0,8820.743730254877,21933.183224779736,23160.0,278002781,0.624,277902780.0,87.84703721090045,3-4
383,383,19256,0,8804.926973991736,21967.876654483083,23220.0,277902780,0.624,277902780.0,114.50827196584235,3-4
384,384,19306,0,8785.446582437315,22001.66295858528,23280.0,277902780,0.624,277902780.0,119.966741870615,3-4
385,385,19356,0,8765.966190882891,22035.449262687485,23340.0,277902780,0.624,270202779.0,119.96674187060933,3-4
386,386,19406,0,8730.431243982339,22033.445643345472,23400.0,270202779,0.944,270202779.0,-176.77282458577307,3-4
387,387,19456,0,8681.205460063322,22000.921464684696,23460.0,270202779,0.944,270202838.0,-146.54669054592927,3-4
388,388,19506,0,8634.437552571224,21943.1671605797,23520.0,270202838,2.144,270202838.0,-128.99963701422962,3-4
389,389,19555,0,8594.504232897492,21815.25574599978,23580.0,270202838,2.144,251602838.0,-107.33810914236199,3-4
390,390,19605,0,8554.751283026646,21687.288231586,23640.0,251602838,2.144,251602838.0,-107.2573422901496,3-4
391,391,19654,0,8515.090495092623,21559.29205234437,23700.0,251602838,2.144,251502516.0,-107.21607358778942,3-4
392,392,19704,0,8480.19353799159,21430.03390880404,23760.0,251502516,2.144,251402515.0,-105.10844240754753,3-4
393,393,19754,0,8452.687802889857,21298.93973483597,23820.0,251402515,2.144,251402515.0,-101.84971505475302,3-4
394,394,19804,0,8434.691165904253,21166.153737617864,23880.0,251402515,2.144,251302514.0,-97.7183327940078,3-4
395,395,19853,0,8417.784046136981,21033.282076164127,23940.0,251302514,2.144,251302514.0,-97.25157407621545,3-4
396,396,19903,0,8414.807003340771,20899.31515033469,24000.0,251302514,2.144,251302712.0,-91.27303002005695,3-4
397,397,19952,0,8413.720999243884,20765.54233660984,24060.0,251302712,2.144,244602447.0,-90.46513250812124,3-4
398,398,20002,0,8359.571700979306,20770.92952375056,24120.0,244602447,0.944,244702448.0,174.3184724376765,3-4
399,399,20052,0,8300.955526581232,20776.690279588674,24180.0,244702448,0.944,244802449.0,174.38703684785696,3-4
400,400,20102,0,8242.064676669102,20777.72469050402,24240.0,244802449,0.944,244802449.0,178.9937097904122,3-4
401,401,20152,0,8183.164140646234,20774.300240735247,24300.0,244802449,0.944,244902450.0,-176.67259575827256,3-4
402,402,20202,0,8127.565036474867,20755.19374241436,24360.0,244902450,0.944,245002451.0,-161.034839788337,3-4
403,403,20252,0,8071.891513243956,20735.66905792457,24420.0,245002451,0.944,245102452.0,-160.67424990166322,3-4
404,404,20302,0,8014.717244459413,20729.404971574488,24480.0,245102452,0.944,210902452.0,-173.74753870222818,3-4
405,405,20352,0,7965.266932587762,20758.66431025464,24540.0,210902452,0.944,210902452.0,149.3875495693972,3-4
406,406,20401,0,7918.614233838541,20794.782528641128,24600.0,210902452,0.944,210902452.0,142.2531946127304,3-4
407,407,20451,0,7871.96153508932,20830.900747027623,24660.0,210902452,0.944,210902742.0,142.25319461272426,3-4
408,408,20501,0,7825.407883818515,20867.146091096845,24720.0,210902742,0.944,210902742.0,142.0966931749609,3-4
409,409,20551,0,7778.97850900836,20903.550941800266,24780.0,210902742,0.944,274202970.0,141.90032816927499,3-4
410,410,20601,0,7732.642689818607,20940.074537226938,24840.0,274202970,0.944,296702970.0,141.75352266232395,3-4
411,411,20651,0,7686.388727302204,20976.70199817647,24900.0,296702970,0.944,296702970.0,141.62509811766284,3-4
412,412,20701,0,7640.139310509107,21013.335199596742,24960.0,296702970,0.944,245302967.0,141.6179872879897,3-4
413,413,20751,0,7593.753647054063,21049.794348505347,25020.0,245302967,0.944,245302501.0,141.83263985530496,3-4
414,414,20800,0,7545.61183444689,21083.366040594785,25080.0,245302501,0.944,245302501.0,145.11000935234068,3-4
415,415,20850,0,7491.220520523192,21106.226158040976,25140.0,245302501,0.944,216102501.0,157.203478532058,3-4
416,416,20937,0,7432.89672457186,21131.533711733315,25260.0,216102501,0.944,216102501.0,156.54326824558166,4-5
417,417,20987,0,7378.79344914372,21155.06742346664,25320.0,216102501,0.944,216102501.0,156.49204003333665,4-5
418,418,21037,0,7324.69017371558,21178.601135199948,25380.0,216102501,0.944,216102501.0,156.49204003335248,4-5
419,419,21114,0,7270.586898287441,21202.134846933262,25440.0,216102501,0.944,216102455.0,156.49204003334603,4-5
420,420,21163,0,7213.730182940165,21217.56745426496,25500.0,216102455,0.944,245502835.0,164.81409674772604,4-5
421,421,21212,0,7175.893892559383,21176.713907273333,25560.0,245502835,0.944,217102835.0,-132.80414565544746,4-5
422,422,21262,0,7128.464731397681,21186.83665220798,25620.0,217102835,0.944,217102835.0,167.9521978653795,4-5
423,423,21312,0,7077.133422432613,21215.92439395485,25680.0,217102835,0.944,217102429.0,150.46121774044434,4-5
424,424,21361,0,7024.017484982575,21241.60821559176,25740.0,217102429,0.944,217102429.0,154.1942520454255,4-5
425,425,21411,0,6970.896896764901,21267.28316656363,25800.0,217102429,0.944,217102429.0,154.20397350550675,4-5
426,426,21460,0,6917.776308547226,21292.95811753551,25860.0,217102429,0.944,217602429.0,154.20397350549723,4-5
427,427,21510,0,6867.804575248671,21323.93256868964,25920.0,217602429,0.944,209302176.0,148.2077327302124,4-5
428,428,21560,0,6819.6347409834325,21357.999017918537,25980.0,209302176,0.944,209302176.0,144.73146110418352,4-5
429,429,21610,0,6771.247250679663,21391.757732083955,26040.0,209302176,0.944,209302176.0,145.09750438407696,4-5
430,430,21660,0,6722.8597603758935,21425.516446249378,26100.0,209302176,0.944,242002770.0,145.09750438407406,4-5
431,431,21709,0,6675.438740842417,21442.72484637352,26160.0,242002770,0.944,242002770.0,160.05489984509083,4-5
432,432,21757,0,6642.5293876556725,21393.75572883164,26220.0,242002770,0.944,242002770.0,-123.90279840308081,4-5
433,433,21807,0,6609.620034468928,21344.786611289765,26280.0,242002770,0.944,242002770.0,-123.90279840308474,4-5
434,434,21856,0,6576.710681282183,21295.817493747887,26340.0,242002770,0.944,277802851.0,-123.90279840308276,4-5
435,435,21926,0,6552.967125471662,21213.7345564421,26460.0,277802851,0.9440000000000002,277802851.0,-106.13319957797903,4-5
436,436,22019,0,6585.911331218472,21164.788879332555,26520.0,277802851,0.9440000000000002,277702778.0,-56.0564129802487,4-5
437,437,22069,0,6602.499880540246,21115.02609321709,26580.0,277702778,0.944,277702778.0,-71.56406266143313,4-5
438,438,22118,0,6574.598074068599,21063.040622212025,26640.0,277702778,0.944,277702778.0,-118.22348571236388,4-5
439,439,22168,0,6546.696267596953,21011.05515120696,26700.0,277702778,0.944,277702778.0,-118.22348571236388,4-5
